2MASS%20J11073810+3800518,DA+M
2MASS%20J11074705+1542196,DA+M
2MASS%20J11075016+0505591,DA+M
2MASS%20J11075894+2753463,DA+M
2MASS%20J11075976+2041105,DA+M
2MASS%20J11081805+5333078,DA+M
2MASS%20J11083465-1548470,DA+M
2MASS%20J11084306+3123559,DA+M
2MASS%20J11084355+1155161,DA+M
2MASS%20J11093805+3239388,DA+M
2MASS%20J11094130+5512289,DA
2MASS%20J11095703+3302459,DA+M
2MASS%20J11102104+3047384,DA+M
2MASS%20J11125121+1907004,DA+M
2MASS%20J11140089+4518232,DA+M
2MASS%20J11141929+0838288,DA+M
2MASS%20J11142462+3341243,DA+M
2MASS%20J11142536+3808216,DA
2MASS%20J11145995+0924110,DA+M
2MASS%20J11150148-1203220,DA+M
2MASS%20J11151166+1724072,DA
2MASS%20J11153001+6643011,DA+M
2MASS%20J11153694+0033171,DA
2MASS%20J11161449+5357209,DA+M
2MASS%20J11171056-1255409,DA+M
2MASS%20J11171487+0954152,DA+M
2MASS%20J11173512+0129404,DA+M
2MASS%20J11181020+1313386,DA+M
2MASS%20J11182722-4721570,DC
2MASS%20J11191419+3801597,DA+M
2MASS%20J11193338+3744112,DA+M
2MASS%20J11201274+1901269,DA+M
2MASS%20J11201607+6757507,DA+M
2MASS%20J11204875+3819057,DA+M
2MASS%20J11214601+1553256,DA
2MASS%20J11214996+2859047,DA+M
2MASS%20J11230840-1155593,DA+M
2MASS%20J11235773-0110276,DA+M
2MASS%20J11262386+0108568,DA+M
2MASS%20J11263674+1458298,DA+M
2MASS%20J11272201+4249339,DA+M
2MASS%20J11273153+0623050,DA
2MASS%20J11274827-0028592,DA+M
2MASS%20J11281264+6717384,DA+M
2MASS%20J11281393+1252341,DA+M
2MASS%20J11284071+0841175,DA+M
2MASS%20J11290953+6637043,DA+M
2MASS%20J11300614-0647163,DA+M
2MASS%20J11310905+0643061,DA
2MASS%20J11313905-0321271,DA+M
2MASS%20J11321273+5837438,DA+M
2MASS%20J11351112+0009241,DA+M
2MASS%20J11351132+6013566,DA+M
2MASS%20J11355751+0103106,DA+M
2MASS%20J11365515+0409528,DA+M
2MASS%20J11375649+5740225,DA
2MASS%20J11380037-0011442,DA+M
2MASS%20J11382911+2020402,DA+M
2MASS%20J11390756+5111036,DA+M
2MASS%20J11404644+3318430,DA+M
2MASS%20J11412584+0105041,DQ
2MASS%20J11431257+0009267,DA+M
2MASS%20J11431651+6658132,DA+M
2MASS%20J11441564+4557001,DA+M
2MASS%20J11450979+3813292,DA+M
2MASS%20J11471607+2939301,DA+M
2MASS%20J11472000+1128132,DA+M
2MASS%20J11483238+0349351,DA+M
2MASS%20J11491356-0147268,DA
2MASS%20J11505233+6831161,DA
2MASS%20J11515695-0007251,DA+M
2MASS%20J11523697+0021417,DA+M
2MASS%20J11535608+4001375,DA+M
2MASS%20J11584888+1715528,DA+M
2MASS%20J11585730+1529221,DA+M
2MASS%20J12045543+1337155,DA+M
2MASS%20J12050800+0312344,DA+M
2MASS%20J12053620+4256083,DA+M
2MASS%20J12063596+0823090,DA
2MASS%20J12090941+6510199,DA+M
2MASS%20J12104851+0549239,DA+M
2MASS%20J12111941+4155553,DA+M
2MASS%20J12113095-0249545,DA+M
2MASS%20J12125824-0123101,DA+M
2MASS%20J12131815+5102475,DA+M
2MASS%20J12135686+3635310,DA+M
2MASS%20J12140895+2655433,DA+M
2MASS%20J12173025+3226334,DA
2MASS%20J12200769+6316283,DA+M
2MASS%20J12203708+4923343,DA+M
2MASS%20J12212103+3306350,DA
2MASS%20J12214905+2856278,DA+M
2MASS%20J12231542+3137556,DA+M
2MASS%20J12232547+2811438,DA+M
2MASS%20J12233961-0056311,DA+M
2MASS%20J12251494+2925231,DA+M
2MASS%20J12255302+0103563,DA+M
2MASS%20J12260479+3758279,DA+M
2MASS%20J12263499+3220207,DA+M
2MASS%20J12293066+2630503,DA+M
2MASS%20J12313980-0310002,DA+M
